Data,Dia da Semana,Gasto (R$),Receita (R$),ROAS,Compras,CPA (R$),Custo por Mensagem (R$),Custo por Visita (R$),Impressões,Alcance,CTR (%),CPC (R$)
2025-05-27,Terça-feira,"9,54","0,0","0,0","0,0","0,0","0,0","0,0",1221,1114,"2,129402","0,366923"
2025-05-27,Terça-feira,"13,21","470,09999999999997","35,58667676003027","3,0","4,403333333333333","0,0","13,21",1651,1578,"2,301635","0,347632"
2025-05-27,Terça-feira,"14,84","0,0","0,0","0,0","0,0","0,0","14,84",1373,660,"0,291333","3,71"
2025-05-27,Terça-feira,"6,32","0,0","0,0","0,0","0,0","0,0","0,0",961,934,"0,936524","0,702222"
2025-05-27,Terça-feira,"6,94","0,0","0,0","0,0","0,0","0,0","0,0",594,295,"1,010101","1,156667"
2025-05-27,Terça-feira,"14,58","0,0","0,0","0,0","0,0","0,0","7,29",2625,2369,"3,428571","0,162"
2025-05-28,Quarta-feira,"9,01","0,0","0,0","0,0","0,0","0,0","0,0",1097,1005,"2,005469","0,409545"
2025-05-28,Quarta-feira,"12,52","0,0","0,0","0,0","0,0","0,0","0,0",1526,1436,"2,42464","0,338378"
2025-05-28,Quarta-feira,"14,79","469,20000000000005","31,724137931034488","6,0","2,465","0,0","14,79",1305,580,"0,45977","2,465"
2025-05-28,Quarta-feira,"6,55","0,0","0,0","0,0","0,0","0,0","0,0",1099,1028,"1,091902","0,545833"
2025-05-28,Quarta-feira,"6,54","0,0","0,0","0,0","0,0","0,0","0,0",502,247,"0,59761","2,18"
2025-05-28,Quarta-feira,"14,31","0,0","0,0","0,0","0,0","0,0","14,31",2413,2255,"4,724409","0,125526"
2025-05-29,Quinta-feira,"9,56","0,0","0,0","0,0","0,0","0,0","0,0",1211,1136,"1,899257","0,415652"
2025-05-29,Quinta-feira,"12,79","0,0","0,0","0,0","0,0","0,0","0,0",1563,1485,"2,239283","0,365429"
2025-05-29,Quinta-feira,"23,12","615,5699999999999","26,624999999999996","6,0","3,8533333333333335","0,0","11,56",2000,917,"0,4","2,89"
2025-05-29,Quinta-feira,"6,24","0,0","0,0","0,0","0,0","0,0","0,0",1099,1018,"1,910828","0,297143"
2025-05-29,Quinta-feira,"6,68","413,70000000000005","61,93113772455091","3,0","2,2266666666666666","0,0","0,0",592,279,"0,168919","6,68"
2025-05-29,Quinta-feira,"13,82","0,0","0,0","0,0","0,0","0,0","13,82",2338,2115,"3,934987","0,150217"
2025-05-30,Sexta-feira,"12,89","0,0","0,0","0,0","0,0","0,0","12,89",1451,1335,"2,894555","0,306905"
2025-05-30,Sexta-feira,"16,91","505,5","29,893554109994085","3,0","5,636666666666667","0,0","16,91",1493,713,"0,468855","2,415714"
2025-05-30,Sexta-feira,"6,31","0,0","0,0","0,0","0,0","0,0","0,0",833,773,"1,560624","0,485385"
2025-05-30,Sexta-feira,"6,19","155,7","25,15347334410339","3,0","2,0633333333333335","0,0","0,0",579,277,"0,172712","6,19"
2025-05-30,Sexta-feira,"12,76","252,60000000000002","19,796238244514107","3,0","4,253333333333333","0,0","6,38",1777,1601,"2,813731","0,2552"
2025-05-30,Sexta-feira,"9,74","0,0","0,0","0,0","0,0","0,0","0,0",1577,1495,"0,82435","0,749231"
2025-05-31,Sábado,"13,35","0,0","0,0","0,0","0,0","0,0","0,0",1831,1667,"2,512288","0,290217"
2025-05-31,Sábado,"14,25","1281,3000000000002","89,91578947368423","15,0","0,95","0,0","14,25",1288,600,"0,465839","2,375"
2025-05-31,Sábado,"6,36","0,0","0,0","0,0","0,0","0,0","3,18",747,700,"2,409639","0,353333"
2025-05-31,Sábado,"6,32","522,5999999999999","82,6898734177215","6,0","1,0533333333333335","0,0","6,32",629,262,"0,158983","6,32"
2025-05-31,Sábado,"13,18","0,0","0,0","0,0","0,0","0,0","6,59",1829,1714,"2,022963","0,356216"
2025-05-31,Sábado,"10,37","0,0","0,0","0,0","0,0","0,0","0,0",1534,1480,"1,890482","0,357586"
2025-06-01,Domingo,"13,68","0,0","0,0","0,0","0,0","0,0","0,0",2477,2314,"2,018571","0,2736"
2025-06-01,Domingo,"14,15","625,5","44,20494699646643","3,0","4,716666666666667","0,0","3,5375",1523,704,"0,919238","1,010714"
2025-06-01,Domingo,"7,08","0,0","0,0","0,0","0,0","0,0","7,08",1219,1159,"2,132896","0,272308"
2025-06-01,Domingo,"7,32","0,0","0,0","0,0","0,0","0,0","3,66",762,363,"0,393701","2,44"
2025-06-01,Domingo,"13,97","0,0","0,0","0,0","0,0","0,0","13,97",2904,2689,"2,341598","0,205441"
2025-06-01,Domingo,"10,1","0,0","0,0","0,0","0,0","0,0","0,0",1903,1758,"1,366264","0,388462"
2025-06-02,Segunda-feira,"13,28","0,0","0,0","0,0","0,0","0,0","13,28",2387,2252,"2,346041","0,237143"
2025-06-02,Segunda-feira,"14,71","0,0","0,0","0,0","0,0","0,0","14,71",1542,750,"0,324254","2,942"
2025-06-02,Segunda-feira,"7,39","0,0","0,0","0,0","0,0","0,0","0,0",1299,1203,"2,00154","0,284231"
2025-06-02,Segunda-feira,"6,73","1158,6","172,15453194650814","9,0","0,7477777777777779","0,0","0,0",721,329,"0,970874","0,961429"
2025-06-02,Segunda-feira,"13,69","0,0","0,0","0,0","0,0","0,0","3,4225",2736,2478,"2,083333","0,240175"
2025-06-02,Segunda-feira,"10,46","0,0","0,0","0,0","0,0","0,0","0,0",1948,1862,"1,386037","0,387407"
2025-06-03,Terça-feira,"12,78","0,0","0,0","0,0","0,0","0,0","0,0",2229,1977,"1,615074","0,355"
2025-06-03,Terça-feira,"18,42","354,9","19,267100977198695","3,0","6,140000000000001","0,0","9,21",1753,801,"0,570451","1,842"
2025-06-03,Terça-feira,"6,3","0,0","0,0","0,0","0,0","0,0","0,0",1318,1234,"0,91047","0,525"
2025-06-03,Terça-feira,"4,91","0,0","0,0","0,0","0,0","0,0","0,0",546,272,"0,3663","2,455"
2025-06-03,Terça-feira,"12,83","0,0","0,0","0,0","0,0","0,0","0,0",2902,2623,"1,619573","0,272979"
2025-06-03,Terça-feira,"9,71","0,0","0,0","0,0","0,0","0,0","0,0",2019,1880,"1,535414","0,313226"
2025-06-04,Quarta-feira,"13,14","0,0","0,0","0,0","0,0","0,0","0,0",1980,1718,"2,272727","0,292"
2025-06-04,Quarta-feira,"18,97","1230,0","64,83921982076964","15,0","1,2646666666666666","0,0","0,0",1279,643,"1,563722","0,9485"
2025-06-04,Quarta-feira,"6,47","0,0","0,0","0,0","0,0","0,0","6,47",741,668,"2,564103","0,340526"
2025-06-04,Quarta-feira,"6,53","0,0","0,0","0,0","0,0","0,0","0,0",465,245,"0,0","0,0"
2025-06-04,Quarta-feira,"13,71","0,0","0,0","0,0","0,0","0,0","6,855",2831,2553,"2,75521","0,175769"
2025-06-04,Quarta-feira,"9,14","0,0","0,0","0,0","0,0","0,0","9,14",1811,1630,"1,76698","0,285625"
2025-06-05,Quinta-feira,"12,88","606,9000000000001","47,11956521739131","3,0","4,293333333333334","0,0","6,44",2032,1877,"2,46063","0,2576"
2025-06-05,Quinta-feira,"15,16","179,7","11,853562005277045","3,0","5,053333333333334","0,0","7,58",1165,524,"0,686695","1,895"
2025-06-05,Quinta-feira,"6,34","0,0","0,0","0,0","0,0","0,0","3,17",760,693,"1,315789","0,634"
2025-06-05,Quinta-feira,"6,81","123,0","18,061674008810574","3,0","2,27","0,0","0,0",573,323,"0,17452","6,81"
2025-06-05,Quinta-feira,"12,87","0,0","0,0","0,0","0,0","0,0","12,87",2618,2408,"2,291826","0,2145"
2025-06-05,Quinta-feira,"9,54","0,0","0,0","0,0","0,0","0,0","0,0",2030,1935,"1,034483","0,454286"
2025-06-06,Sexta-feira,"12,38","0,0","0,0","0,0","0,0","0,0","0,0",1718,1569,"1,746217","0,412667"
2025-06-06,Sexta-feira,"17,53","165,89999999999998","9,46377638334284","3,0","5,843333333333334","0,0","17,53",1326,597,"0,452489","2,921667"
2025-06-06,Sexta-feira,"6,11","0,0","0,0","0,0","0,0","0,0","0,0",780,704,"1,666667","0,47"
2025-06-06,Sexta-feira,"6,79","0,0","0,0","3,0","2,263333333333333","0,0","0,0",679,354,"0,441826","2,263333"
2025-06-06,Sexta-feira,"13,19","0,0","0,0","0,0","0,0","13,19","3,2975",2489,2255,"2,49096","0,212742"
2025-06-06,Sexta-feira,"9,04","0,0","0,0","0,0","0,0","0,0","0,0",2003,1808,"0,998502","0,452"
